title,link,summary,image_url,publication_time,category,url_source,scraped_at
"Harga beras medium turun jadi Rp13.772/kg, cabai rawit Rp46.397/kg",https://www.antaranews.com/berita/5107753/harga-beras-medium-turun-jadi-rp13772-kg-cabai-rawit-rp46397-kg?utm_source=antaranews&utm_medium=desktop&utm_campaign=top_news,Tidak ada ringkasan,Tidak ada gambar,Tidak ada waktu,Ekonomi,https://www.antaranews.com/ekonomi,2025-09-14T18:18:35.114770
"Likuiditas deras era Purbaya, tantangan besar sektor riil menanti",https://www.antaranews.com/berita/5107629/likuiditas-deras-era-purbaya-tantangan-besar-sektor-riil-menanti?utm_source=antaranews&utm_medium=desktop&utm_campaign=top_news,Tidak ada ringkasan,Tidak ada gambar,Tidak ada waktu,Ekonomi,https://www.antaranews.com/ekonomi,2025-09-14T18:18:35.114770
Simak daftar harga lengkap tiga produk emas di Pegadaian hari ini,https://www.antaranews.com/berita/5107601/simak-daftar-harga-lengkap-tiga-produk-emas-di-pegadaian-hari-ini?utm_source=antaranews&utm_medium=desktop&utm_campaign=top_news,Tidak ada ringkasan,Tidak ada gambar,Tidak ada waktu,Ekonomi,https://www.antaranews.com/ekonomi,2025-09-14T18:18:35.115346
Mentan tegaskan tidak ada kompromi praktik curang rugikan petani,https://www.antaranews.com/berita/5107429/mentan-tegaskan-tidak-ada-kompromi-praktik-curang-rugikan-petani?utm_source=antaranews&utm_medium=desktop&utm_campaign=top_news,Tidak ada ringkasan,Tidak ada gambar,Tidak ada waktu,Ekonomi,https://www.antaranews.com/ekonomi,2025-09-14T18:18:35.115346
Kontribusi sektor migas bagi kemandirian energi,https://www.antaranews.com/berita/5107357/kontribusi-sektor-migas-bagi-kemandirian-energi?utm_source=antaranews&utm_medium=desktop&utm_campaign=top_news,Tidak ada ringkasan,Tidak ada gambar,Tidak ada waktu,Ekonomi,https://www.antaranews.com/ekonomi,2025-09-14T18:18:35.115769
Menkop: Kopdes Merah Putih semakin pesat dan untungkan masyarakat,https://www.antaranews.com/berita/5107209/menkop-kopdes-merah-putih-semakin-pesat-dan-untungkan-masyarakat?utm_source=antaranews&utm_medium=desktop&utm_campaign=top_news,Tidak ada ringkasan,Tidak ada gambar,Tidak ada waktu,Ekonomi,https://www.antaranews.com/ekonomi,2025-09-14T18:18:35.115769
Luhut temui aliansi ekonom guna respons tujuh Desakan Darurat Ekonomi,https://www.antaranews.com/berita/5106813/luhut-temui-aliansi-ekonom-guna-respons-tujuh-desakan-darurat-ekonomi?utm_source=antaranews&utm_medium=desktop&utm_campaign=top_news,Tidak ada ringkasan,Tidak ada gambar,Tidak ada waktu,Ekonomi,https://www.antaranews.com/ekonomi,2025-09-14T18:18:35.115769
Samboja manfaatkan energi terbarukan dari kandang sapi,https://www.antaranews.com/berita/5106541/samboja-manfaatkan-energi-terbarukan-dari-kandang-sapi?utm_source=antaranews&utm_medium=desktop&utm_campaign=top_news,Tidak ada ringkasan,Tidak ada gambar,Tidak ada waktu,Ekonomi,https://www.antaranews.com/ekonomi,2025-09-14T18:18:35.115769
Asosiasi pengusaha dukung rekomendasi MUI soal jaminan halal MBG,https://www.antaranews.com/berita/5108209/asosiasi-pengusaha-dukung-rekomendasi-mui-soal-jaminan-halal-mbg,Tidak ada ringkasan,Tidak ada gambar,Tidak ada waktu,Ekonomi,https://www.antaranews.com/ekonomi,2025-09-14T18:18:35.115769
"Tak ada kelangkaan, Bulog jamin pasokan SPHP dan premium aman",https://www.antaranews.com/berita/5108117/tak-ada-kelangkaan-bulog-jamin-pasokan-sphp-dan-premium-aman,Tidak ada ringkasan,Tidak ada gambar,Tidak ada waktu,Ekonomi,https://www.antaranews.com/ekonomi,2025-09-14T18:18:35.116867
